model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,cora,paper,full,latency-aware,independent,on,off,0,1433,128,812870,775577,596816,812870,117056,54213120,733696,1386496,0,56450368,515719504,19007312,0,0.779958,0.719997,0.271272,356719070,356719070,0.0172328,0.0427193,775577,212028,808844,4193280,5362352,193168896
gcn,cora,paper,full,latency-aware,independent,on,off,1,128,7,29681,25646,1299,29681,116992,1386496,3584,173312,0,1680384,4124160,1697792,0,0.779868,0.719775,0.221152,260260,260260,0.0195003,0.156002,25646,25646,26945,1386496,479232,944640
