model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,full,latency-aware,independent,on,on,0,500,128,1408552,1377478,1252492,1408552,946048,346777600,256000,10095104,0,358074752,1316070500,54182500,0,0.779979,0.71999,0.993027,3951831336,3951831336,1.42987e-06,0.00209905,1377478,153478,1405970,4194304,15284124,490757632
gcn,pubmed,paper,full,latency-aware,independent,on,on,1,128,3,128729,126884,72201,128729,945856,29961216,1536,1261888,0,32170496,21442048,13870720,0,0.779963,0.719809,0.976206,28566257,28566257,0,0.00534751,126884,55682,127883,4194304,3913088,2947200
