model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,citeseer,paper,full,sequential,independent,on,on,0,3703,128,1637093,704351,539485,1637093,113152,173587968,1895936,1703424,100663296,277963776,1622976761,46031993,0,0.779949,0.719999,0.663246,1800121684,1800121684,0,0.00285873,704351,1090942,1630427,4187136,12987271,613260160
gcn,citeseer,paper,full,sequential,independent,on,on,1,128,6,46233,11157,1440,46233,112768,1703424,3072,212928,8388608,10420800,4146304,1591168,0,0.779862,0.719507,0.880459,102058,102058,4.91325e-05,0.00078612,11157,43949,45389,1703424,449152,996096
