model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,citeseer,paper,full,latency-aware,independent,on,off,0,3703,128,2500755,2461575,2247771,2500755,113152,173587968,1895936,1703424,0,177300480,1622976761,46031993,0,0.779949,0.719987,0.276948,6229637586,6229637586,0.0144619,0.0750816,2461575,251156,2498927,4187136,12987271,613297024
gcn,citeseer,paper,full,latency-aware,independent,on,off,1,128,6,34103,29473,1440,34103,112768,1703424,3072,212928,0,2032192,4146304,1591168,0,0.779862,0.719507,0.232773,355482,355482,0.0022675,0.128996,29473,29473,30913,1703424,449152,996096
