model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,full,sequential,independent,on,on,0,500,128,2169976,1377478,435350,2169976,946048,346777600,256000,10095104,83886080,441960832,1316070500,54182500,0,0.779979,0.719999,0.795589,3953740693,3953740693,1.15847e-06,0.00170064,1377478,1695180,2130530,4194304,15284124,490737152
gcn,pubmed,paper,full,sequential,independent,on,on,1,128,3,229855,126884,5741,229855,945856,29961216,1536,1261888,25165824,57336320,21442048,13870720,0,0.779963,0.719809,0.974397,28667429,28667429,0,0.0030004,126884,219172,224913,4194304,3913088,2947200
