model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,cora,paper,full,latency-aware,independent,on,on,0,1433,128,263430,224247,193324,263430,117056,54213120,733696,1386496,0,56450368,515719504,19007312,0,0.779958,0.719997,0.83707,102257349,102257349,0.000226748,0.00482519,224247,69046,262370,7211520,5362352,193168896
gcn,cora,paper,full,latency-aware,independent,on,on,1,128,7,12181,10192,1299,12181,116992,1386496,3584,173312,0,1680384,4124160,1697792,0,0.779868,0.719775,0.538872,75270,75270,0,0.00487508,10192,10192,11491,1386496,479232,944640
