model,dataset,profile,scope,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,cora,paper,full,sequential,independent,on,on,0,1433,128,523452,224247,170414,523452,117056,54213120,733696,1386496,33554432,90004800,515719504,19007312,0,0.779958,0.719997,0.671659,102579007,102579007,0.000142215,0.00302633,224247,347610,518024,4193280,5362352,193168896
gcn,cora,paper,full,sequential,independent,on,on,1,128,7,44973,10192,1299,44973,116992,1386496,3584,173312,8388608,10068992,4124160,1697792,0,0.779868,0.719775,0.874569,75270,75270,0,0.000813587,10192,42984,44283,1386496,479232,944640
