model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,latency-aware,independent,on,on,0,500,128,4052837,3469976,3361109,3500320,945984,109428736,256000,10095104,0,120725824,1316070500,54182500,0,0.779985,0.719999,0.134726,34357191108,34357191108,4.24101e-06,0.0247421,3469976,691728,4052837,16777216,15283612,490736128
gcn,pubmed,paper,latency-aware,independent,on,on,1,128,3,480404,475638,120797,476410,945856,14883840,1536,1261888,0,17093120,21442048,13870720,0,0.779986,0.719984,0.140152,1616762238,1616762238,0,0.0277969,475638,359607,480404,8388608,3912576,2944640
