model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,cora,paper,latency-aware,independent,off,on,0,1433,128,1670307,1043171,1156389,1041300,117056,31196160,733696,1386496,0,33433408,515719504,19007312,0,0.779991,0.719999,0.125419,129392422,129392422,1.5314e-05,0.000490049,1043171,513918,1670307,15598080,5361328,193166336
gcn,cora,paper,latency-aware,independent,off,on,1,128,7,58766,51116,7650,52358,116992,1386496,3584,173312,0,1680384,4124160,1697792,0,0.779868,0.719994,0.125368,358326,358326,0,0.00487508,51116,51116,58766,1386496,479232,943616
