model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,cora,paper,latency-aware,independent,on,off,0,1433,128,5758849,5131713,2976957,5249494,117056,28373760,733696,1386496,0,30611008,515719504,19007312,0,0.779991,0.719999,0.0227782,1624149867,1624149867,0.0284844,0.0343218,5131713,2781892,5758849,8386560,5361328,193166336
gcn,cora,paper,latency-aware,independent,on,off,1,128,7,100456,71466,7650,100456,116992,1386496,3584,173312,0,1680384,4124160,1697792,0,0.779868,0.719994,0.065342,356808,356808,0.156002,0.0195003,71466,71466,79116,1386496,479232,943616
