model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,citeseer,paper,latency-aware,independent,on,on,0,3703,128,4768421,4111816,4013249,4104060,112896,129459712,1895936,1703424,0,133171968,1622976761,46031993,0,0.779982,0.72,0.126753,8627768580,8627768580,3.84465e-06,0.00347557,4111816,755172,4768421,16748544,12984711,613257088
gcn,citeseer,paper,latency-aware,independent,on,on,1,128,6,68844,60611,8233,63350,112768,1703424,3072,212928,0,2032192,4146304,1591168,0,0.779862,0.719922,0.125308,477492,477492,0.000251945,0.00403112,60611,60611,68844,1703424,449152,994048
