model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,latency-aware,independent,off,on,0,500,128,7193341,6610480,5900149,6640810,945984,201902080,256000,10095104,0,213199168,1316070500,54182500,0,0.779985,0.719999,0.125408,5131973754,5131973754,2.40151e-06,0.000192121,6610480,1293192,7193341,8388608,15283612,490736128
gcn,pubmed,paper,latency-aware,independent,off,on,1,128,3,701784,697018,333551,697788,945856,20190208,1536,1261888,0,22399488,21442048,13870720,0,0.779986,0.719984,0.125393,57566262,57566262,0,0.000365723,697018,368233,701784,8388608,3912576,2944640
