model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,latency-aware,independent,on,off,0,500,128,12401665,11818804,11513921,12172466,945984,109428736,256000,10095104,0,120725824,1316070500,54182500,0,0.779985,0.719999,0.038742,103004650198,103004650198,0.0203569,0.0420709,11818804,887744,12401665,8388608,15283612,490736128
gcn,pubmed,paper,latency-aware,independent,on,off,1,128,3,1240644,1199430,694667,1240644,945856,14883840,1536,1261888,0,17093120,21442048,13870720,0,0.779986,0.719984,0.0538188,3101048640,3101048640,0.0313913,0.0258799,1199430,509529,1204196,8388608,3912576,2944640
