model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,pubmed,paper,sequential,independent,on,on,0,500,128,6576022,5567024,693526,6023974,945984,109428736,256000,10095104,80760832,201486656,1316070500,54182500,0,0.779985,0.719999,0.130654,54780917842,54780917842,2.54111e-06,0.0148401,5567024,5882496,6576022,8388608,15283612,490736640
gcn,pubmed,paper,sequential,independent,on,on,1,128,3,1107304,999898,15291,1107304,945856,14883840,1536,1261888,20190208,37283328,21442048,13870720,0,0.779986,0.719949,0.131525,3648691624,3648691624,0,0.0129636,999898,1078766,1094057,8388608,3912576,2945152
