model,dataset,profile,pipeline,combination,sparsity,coordination,layer,input_features,output_features,cycles,aggregation_cycles,combination_cycles,memory_service_cycles,edge_dram_bytes,input_dram_bytes,weight_dram_bytes,output_dram_bytes,intermediate_dram_bytes,total_dram_bytes,mac_operations,add_operations,compare_operations,simd_utilization,array_utilization,bandwidth_utilization,queue_wait_cycles,hbm_blocked_cycles,channel_imbalance,bank_imbalance,ae_finish_cycle,ce_start_cycle,ce_finish_cycle,aggregation_buffer_peak_bytes,simd_idle_lane_cycles,array_idle_lane_cycles
gcn,citeseer,paper,sequential,independent,on,on,0,3703,128,7833371,6728712,718727,7191432,112896,129459712,1895936,1703424,98798592,231970560,1622976761,46031993,0,0.779982,0.719999,0.126002,13924405414,13924405414,2.20718e-06,0.00201295,6728712,7114644,7833371,8374272,12984711,613259136
gcn,citeseer,paper,sequential,independent,on,on,1,128,6,169790,60611,8233,169790,112768,1703424,3072,212928,3406848,5439040,4146304,1591168,0,0.779862,0.719922,0.125133,657366,657366,9.41343e-05,0.00131788,60611,73919,82152,1703424,449152,994048
